,economy_fiscal_news_sentiment_score,economy_fiscal_news_sentiment_label,economy_macro_news_sentiment_score,economy_macro_news_sentiment_label,economy_monetary_news_sentiment_score,economy_monetary_news_sentiment_label,financial_market_news_sentiment_score,financial_market_news_sentiment_label,ticker_news_compound,adj_close,volume,MACD_signal,OBV ema,RSI
427,-0.1310846,1,-0.1260517142857143,1,-0.12424787654320989,0,-0.00615368456375839,1,0.10558571428571428,-0.01627605697744683,24446000.0,-1.0346839630017075,744655783.3554852,44.53377623946564
430,-0.10593288,1,-0.13352062068965517,1,-0.22355186486486486,1,-0.365286,0,-0.08681999999999997,-0.04282022560539067,39178000.0,-1.0397269053702103,731268346.8492393,44.53377623946563
431,-0.11098786046511629,1,-0.06745203225806451,1,-0.22355186486486486,1,-0.365286,0,0.08846428571428573,0.006436612551132148,35250000.0,-1.2089971534627648,730131955.7076995,47.928438651028486
432,-0.15110400000000002,2,-0.06199217647058823,1,-0.22355186486486486,1,-0.365286,0,0.464175,0.05175653169688643,32258000.0,-1.242177325961703,734561296.423083,66.0415963214686
433,-0.08954063265306123,1,-0.06438969387755103,1,-0.22355186486486486,1,-0.365286,0,0.24823333333333333,-0.008844594611538414,24266000.0,-1.217316197531515,734208080.3525691,61.87553910027931
434,-0.09789036666666666,1,-0.10730791666666667,1,-0.14094693684210527,0,-0.365286,0,0.405,-0.016630080474289488,26600000.0,-1.1972356137681217,729480400.2938076,54.922128371177344
437,-0.0458512,1,-0.11840606896551724,1,-0.07662809782608695,0,-0.04694717010309279,1,0.12940000000000002,-0.028622210537862847,30254000.0,-1.2530786989989169,714479296.466324,54.922128371177344
438,-0.1120361842105263,1,-0.08783261111111111,1,-0.07662809782608695,0,-0.04694717010309279,1,0.12248,0.02303524470816498,30292000.0,-1.3021118533994505,713046080.3886033,62.43498001940961
439,-0.06507718604651164,1,-0.12242630769230768,1,-0.07662809782608695,0,-0.04694717010309279,1,0.34040000000000004,0.031081158528971864,32058000.0,-1.238753760073142,717194733.6571695,69.89389463210222
440,-0.08436312765957446,1,-0.05417160869565218,1,-0.07662809782608695,0,-0.04694717010309279,1,0.17112499999999997,0.006806679327300946,23994000.0,-1.0981424865134477,724650944.7143079,71.28059635615654
441,-0.0444238125,1,-0.0985218076923077,1,-0.09898555384615385,0,-0.018845105263157896,1,0.3471285714285714,0.016352124398804735,45900000.0,-0.8823783913277183,738514453.9285899,74.35714962759292
444,-0.13617369230769233,1,-0.16430107407407407,2,-0.277893,1,-0.03035716949152542,1,-0.01673333333333333,-0.0023610709723345114,26632000.0,-0.36262346578075494,763279012.6901561,74.35714962759292
445,-0.03475678125,1,-0.10448846666666665,1,-0.277893,1,-0.03035716949152542,1,0.4638416666666667,0.027835856647647095,29776000.0,-0.05354325423548214,771228510.5751301,79.46436231625344
446,-0.05285011111111112,1,-0.07088639130434783,1,-0.277893,1,-0.03035716949152542,1,0.2868555555555556,-0.012646376799613113,25302000.0,0.24118880966887266,773636092.1459419,72.22992460843426
447,-0.047585088888888884,1,-0.08416894285714285,1,-0.277893,1,-0.03035716949152542,1,0.3290444444444445,0.020277482616711584,20544000.0,0.5551569518790042,779066410.1216183,75.96114933086048
448,-0.08430475555555556,1,-0.0906571,1,-0.1133423652173913,0,-0.03035716949152542,1,0.04956666666666665,0.0014825575964987348,19270000.0,0.855859048242705,786803341.7680154,76.21784940515283
451,-0.08764333333333334,1,-0.0870856052631579,1,-0.12387003797468354,0,-0.2257265,0,0.4779333333333333,0.0030277895271173527,23774000.0,1.5059103680804635,807063378.3379718,76.21784940515283
452,-0.11156106060606061,1,-0.017477235294117644,1,-0.12387003797468354,0,-0.2257265,0,0.47526,0.009158175975388039,28678000.0,1.731964975381851,818876148.6149765,78.16400590738795
453,-0.08406251219512195,1,-0.053020060606060605,1,-0.12387003797468354,0,-0.2257265,0,0.31618888888888885,-0.004226870977857788,21046000.0,1.9194547789979324,825212457.1791472,75.08211631727383
454,-0.07800938596491228,1,-0.06623738461538461,1,-0.12387003797468354,0,-0.2257265,0,0.41511666666666663,-0.020996218584028226,29516000.0,2.0038899884733055,825573380.9826226,62.049893731388195
455,-0.09465941176470588,1,-0.10196453333333332,1,-0.10782159375,0,-0.2257265,0,-0.01991428571428571,0.007522341940129351,23480000.0,2.0355031004698287,829787484.1521856,64.3849461140435
458,-0.0503385641025641,1,-0.11135227272727272,1,-0.10872525373134329,0,-0.038910692307692306,1,0.391725,0.020913325846730002,19076000.0,2.135894120241391,841843747.7732556,64.38494611404352
459,-0.12079074418604652,1,-0.035795225806451614,1,-0.10872525373134329,0,-0.038910692307692306,1,0.23478,-0.017957764993883907,19256000.0,2.1300862389552737,843316123.1443797,53.510562450435565
460,-0.0622903125,1,-0.06117961538461538,1,-0.10872525373134329,0,-0.038910692307692306,1,-0.007985714285714278,-0.02755512479846567,23574000.0,2.002329364836187,840614102.6203165,41.99920931252425
461,-0.08530832352941176,1,-0.0696758717948718,1,-0.10872525373134329,0,-0.038910692307692306,1,0.26792,-0.005183111927230866,19448000.0,1.797677188426304,835121085.5169303,40.291785798528856
462,-0.04769109090909091,1,-0.09008469230769231,1,-0.08282679032258064,0,-0.038910692307692306,1,0.4033,-0.017986284812101072,16434000.0,1.5151941822791841,827804571.2641087,35.00164415518513
465,-0.09669481081081081,1,-0.036152000000000004,1,-0.1403749189189189,0,-0.03914875257731959,1,0.5260111111111111,-0.031445331358499695,24188000.0,0.7337803442424978,808361136.148211,35.00164415518513
466,-0.06871834615384616,1,-0.0939175,1,-0.1403749189189189,0,-0.03914875257731959,1,0.29118,-0.010955589258509812,23004000.0,0.2677298437019777,797639280.1235092,31.752944995555765
467,-0.1339052765957447,1,-0.07386718918918919,1,-0.1403749189189189,0,-0.03914875257731959,1,0.23403333333333334,0.014890021586442481,19542000.0,-0.1631161362598229,791961400.1029243,39.83669376239519
468,-0.04876140625,1,-0.08463221666666666,1,-0.1403749189189189,0,-0.03914875257731959,1,0.16746363636363637,-0.023279533000414743,23484000.0,-0.5954627476410277,783315833.4191037,33.130970167944184
472,-0.198031,0,-0.12848880952380953,1,-0.09726005405405407,0,-0.04968,1,0.43874,0.00556372103034275,14918000.0,-1.7036507535388496,763421089.4189351,33.130970167944184
473,-0.01797588888888889,1,-0.05778180555555555,1,-0.09726005405405407,0,-0.04968,1,0.27061,0.020084301886036382,22720000.0,-1.8712677426956,765805241.182446,44.58100450428451
474,-0.05790024,1,-0.0602951724137931,1,-0.09726005405405407,0,-0.04968,1,0.008333333333333328,-0.017509305065883662,22610000.0,-2.0151426131165007,764023700.9853717,38.30019441767287
475,0.012751700000000001,1,-0.07772067346938775,1,-0.09726005405405407,0,-0.04968,1,0.41334,-0.02579426718179134,30158000.0,-2.1902951537983184,757512750.8211432,31.403886754242706
476,-0.07535043589743588,1,-0.07550945,1,-0.10120382075471698,0,-0.04968,1,0.09294444444444444,-0.04260931735398954,46410000.0,-2.4576299585890506,744351959.0176193,23.934869530546294
479,-0.09016450000000001,1,-0.31197425,0,-0.212327,1,-0.03564049,1,0.36776,0.030397793194381517,34522000.0,-3.008010858589342,722382661.4685298,23.934869530546294
480,-0.061724615384615385,1,0.04508327272727273,1,-0.212327,1,-0.03564049,1,0.1620529411764706,-0.03037730868883115,49394000.0,-3.2185503238648763,712598217.8904415,19.53887469053568
481,-0.09363207142857143,1,-0.00959296226415094,1,-0.212327,1,-0.03564049,1,0.10033478260869563,-0.037533652240918425,62238000.0,-3.5056307479956033,694071514.9087013,15.795812349131339
482,-0.10640652083333334,1,-0.03369769565217391,1,-0.212327,1,-0.03564049,1,0.21086666666666667,0.03817579330068854,36790000.0,-3.703887936239735,684764262.4239178,29.94425802292291
483,-0.06448013559322034,1,-0.04454940350877193,1,-0.11389867567567567,0,-0.03564049,1,0.29037999999999997,-0.03722421819653876,33694000.0,-3.9017169306498154,671392552.0199316,25.30837563522543
486,-0.07659474999999999,1,-0.047431625,1,-0.138913,0,-0.138913,1,0.04996250000000001,0.019053362195447843,30280000.0,-4.273844016207348,648271958.3448677,25.30837563522543
487,-0.06289273170731707,1,-0.047431625,1,-0.138913,0,-0.138913,1,0.012820000000000008,0.008300858517731324,21216000.0,-4.28319317861872,649564965.2873898,28.562995937159187
488,-0.017896799999999997,1,-0.026753196721311476,1,-0.138913,0,-0.138913,1,0.48655,0.0376323911887968,33232000.0,-4.137166293915083,656181137.7394915,41.18025895016882
489,-0.053495,1,-0.019423835294117647,1,-0.138913,0,-0.138913,1,0.4279,-0.047550471021371,43090000.0,-4.012708042907406,654512948.1162429,32.96053263943202
490,-0.04297594285714286,1,-0.08536591489361701,1,-0.08717201176470589,0,-0.138913,1,0.057699999999999994,-0.009306441421450762,35310000.0,-3.91216158554829,647237790.0968691,31.690674389651136
493,-0.04441069230769231,1,0.058726,2,-0.15789350000000002,0,-0.15789350000000002,1,0.23085,-0.02227221119451006,34520000.0,-3.7819007787516083,626159471.1208733,31.69067438965115
494,-0.07471530952380952,1,0.08299666666666666,1,-0.15789350000000002,0,-0.15789350000000002,1,0.16169999999999998,0.01326892880423669,31158000.0,-3.7750265802306413,623049559.2673944,36.25283084028191
495,-0.038709355555555554,1,-0.0037363098591549305,1,-0.15789350000000002,0,-0.15789350000000002,1,0.07523333333333333,-0.005441439473940046,36502000.0,-3.7500019984981043,614374299.3894954,35.20079626731497
496,-0.07657253658536585,1,-0.09699655128205127,1,-0.15789350000000002,0,-0.15789350000000002,1,0.0627625,-0.0070199053417076,41464000.0,-3.714723913255905,600234249.4912461,33.84373675825054
497,-0.07242622448979591,1,-0.047190809523809524,1,-0.13356365432098766,0,-0.15789350000000002,1,0.4371833333333333,0.029643602695452742,29738000.0,-3.60036733654928,593407207.9093717,43.65311096134061
500,-0.068455,1,-0.06965946153846153,1,-0.1381998596491228,0,-0.07004897448979593,1,0.28268,-0.014787728065626338,23282000.0,-3.333299038029264,575145837.910516,43.65311096134061
501,-0.06666477777777778,1,-0.0940931,1,-0.1381998596491228,0,-0.07004897448979593,1,0.24958888888888886,0.016629976054232776,21576000.0,-3.163473962075262,572215864.9254299,49.396485370438775
502,-0.10640857692307693,1,-0.05533717307692308,1,-0.1381998596491228,0,-0.07004897448979593,1,0.11187,-0.03685041721530158,27982000.0,-3.0463700833590797,565110554.104525,39.60324638189724
503,-0.0115795,1,-0.11937465517241379,1,-0.1381998596491228,0,-0.07004897448979593,1,0.3393785714285714,-0.014728537156721067,29192000.0,-2.9844013948914414,554324128.4204375,36.595420609017125
504,-0.048194724137931036,1,-0.09011181666666666,1,-0.12821344444444446,0,-0.07004897448979593,1,0.27309999999999995,-0.012935018890666394,37586000.0,-2.9706755493076566,539071107.0170312,34.17662536168851
507,-0.012504666666666666,1,-0.0972472,1,-0.031273,0,-0.03726726262626263,1,0.5246666666666666,0.021529851532753552,31558000.0,-2.922437569487573,512200566.56078196,34.17662536168851
508,-0.012504666666666666,1,-0.08477092857142858,1,-0.031273,0,-0.03726726262626263,1,-0.06714166666666667,-0.051407485376648854,60386000.0,-2.998600936893797,499163472.133985,25.19916727165439
509,-0.09623225490196079,1,-0.07163291666666666,1,-0.031273,0,-0.03726726262626263,1,0.270375,-0.0008166273922526335,37900000.0,-3.1064509175471153,481982560.1116541,25.092206378953676
510,-0.069314775,1,-0.033253445945945946,1,-0.031273,0,-0.03726726262626263,1,0.273575,0.023209644626690284,30288000.0,-3.160008091746995,472713133.4263784,33.69885876440718
511,-0.1084343220338983,1,-0.05986014285714286,1,-0.11767960169491526,0,-0.03726726262626263,1,0.1476888888888889,0.04158053926666194,29924000.0,-3.0846366079769583,469975944.521982,45.95683943098012
515,-0.10215663888888889,1,-0.06380507317073171,1,-0.0655690641025641,0,-0.043262,1,0.38516000000000006,0.010992985967809732,51302000.0,-2.7325839880225864,471440422.31962866,45.95683943098011
516,-0.09152175925925926,1,-0.05948197058823529,1,-0.0655690641025641,0,-0.043262,1,0.2795615384615385,0.0008593513753636373,28630000.0,-2.4553520294961233,482237351.93302387,46.26999481719554
517,-0.11014379487179486,1,-0.08124350000000001,1,-0.0655690641025641,0,-0.043262,1,0.3810625,0.03161990526174008,27472000.0,-2.0753739829714144,495813459.9441865,56.310277775995
518,-0.10010992307692307,1,-0.06429767857142857,1,-0.11477755263157895,0,-0.043262,1,0.07488333333333333,-0.027024265343735476,25052000.0,-1.7340179904806468,502951549.95348877,47.82473924996322
521,-0.10213716666666667,1,0.002137685714285716,1,-0.13144829761904764,0,-0.051442615,1,0.11921428571428572,0.021354832166177617,23786000.0,-0.9636512258529649,521952137.7045653,47.82473924996322
522,-0.03844663414634146,1,-0.08063342307692307,1,-0.13144829761904764,0,-0.051442615,1,0.18513333333333334,0.0018716420635334075,26414000.0,-0.6771585914460371,533100448.08713776,48.542576626057915
523,-0.03908147727272727,1,-0.06536982051282052,1,-0.13144829761904764,0,-0.051442615,1,0.17537333333333333,7.250005775927271e-05,22544000.0,-0.4119168645691272,546148040.0726148,48.57214804385155
524,-0.08138366666666667,1,-0.05501341176470588,1,-0.13144829761904764,0,-0.051442615,1,0.36125714285714283,-0.019788803249433107,23142000.0,-0.2257254329457837,553164033.3938457,41.55245467086812
525,-0.12785080434782609,1,-0.11817845454545454,1,-0.19374754285714288,0,-0.051442615,1,0.058249999999999996,-0.030373844185028087,31324000.0,-0.16092845314392779,553790027.8282048,33.66857274794721
528,-0.21567011111111112,2,-0.089619375,1,-0.12107412,0,0.266474,2,0.19434285714285712,-0.040842655182035004,36756000.0,-0.23713657383748202,548982673.5116926,33.66857274794721
529,-0.12518325,1,-0.09100544444444444,1,-0.12107412,0,0.266474,2,0.09121428571428572,0.0029706927578414533,25480000.0,-0.47962950509703167,548426227.9264106,35.17340309139769
530,-0.08727875675675675,1,-0.05989028888888889,1,-0.12107412,0,0.266474,2,0.5049,0.029819791016910013,33192000.0,-0.6667483133742266,553494523.2720088,47.971119053898214
531,-0.07214373333333333,1,-0.11100604761904762,1,-0.12107412,0,0.266474,2,0.03405,-0.03401109011311276,35314000.0,-0.8766091361618255,551832436.0600073,38.38570922416375
532,-0.11431734,1,-0.124502975,1,-0.1267658076923077,0,0.266474,2,0.346375,0.011529875451044669,43516000.0,-1.0557044795406116,557700030.050006,42.44172376591345
536,-0.09152388095238095,1,-0.09889857142857143,1,-0.13601215966386554,0,-0.010975,1,0.09884000000000001,0.038469185530465966,39010000.0,-1.3728808676896451,579391340.108992,42.44172376591346
537,-0.09860192857142855,1,-0.12760384375,1,-0.13601215966386554,0,-0.010975,1,0.1205909090909091,0.00016959507643021787,23922000.0,-1.2787227447790375,591154450.0908266,42.52640180770588
