,economy_fiscal_news_sentiment_score,economy_fiscal_news_sentiment_label,economy_macro_news_sentiment_score,economy_macro_news_sentiment_label,economy_monetary_news_sentiment_score,economy_monetary_news_sentiment_label,financial_market_news_sentiment_score,financial_market_news_sentiment_label,ticker_news_compound,adj_close,volume,MACD_signal,OBV ema,RSI
538,-0.07682395555555556,1,-0.07020071428571428,1,-0.13601215966386554,0,-0.010975,1,0.27222857142857143,0.005806318490491957,24710000.0,-1.1422864255895424,605075375.0756888,45.48395984364195
539,-0.11500626530612246,1,-0.11586523529411764,1,-0.11286963157894736,0,-0.010975,1,0.1339,0.05194592229283268,39122000.0,-0.8716239417604524,623196479.2297407,63.6237557256037
542,-0.06998571428571429,1,-0.10173788571428571,1,-0.09855343269230768,0,-0.016087624999999998,1,0.17301000000000002,-0.016159412365813197,32840000.0,-0.24189058628861887,655894916.2209147,63.623755725603715
543,-0.23813244444444445,2,-0.11135217647058823,1,-0.09855343269230768,0,-0.016087624999999998,1,0.2552625,-0.03473596396794332,28232000.0,-0.09430231704726824,655367430.1840956,48.577510795053584
544,-0.13455752830188678,2,-0.07382385365853658,1,-0.09855343269230768,0,-0.016087624999999998,1,0.19821875,-0.002798243195581751,18628000.0,-0.013100211413182366,651823191.8200797,47.63417911395026
545,-0.1742770804597701,1,-0.16081832142857144,2,-0.09855343269230768,0,-0.016087624999999998,1,0.2606,-0.025691186517258324,38046000.0,-0.02994716158250463,642528659.8500664,39.97941189274931
546,-0.1984824375,1,-0.1613506875,2,-0.1416907327586207,0,-0.016087624999999998,1,0.2581333333333333,-0.0026651697946213915,31028000.0,-0.10293038870869325,629611883.2083887,39.29212065505353
550,-0.07807379069767442,1,-0.12570646341463415,1,-0.13750635443037976,0,-0.033965823232323236,1,0.34103,0.044058999270150334,36398000.0,-0.20179553624940277,602240110.3435518,39.29212065505353
551,-0.08977490322580645,1,-0.12525664285714286,1,-0.13750635443037976,0,-0.033965823232323236,1,0.08396363636363637,0.011647509609344464,28852000.0,-0.09305715128762979,606913091.9529598,45.47125384579501
552,-0.056182265306122456,1,-0.14168076923076922,1,-0.13750635443037976,0,-0.033965823232323236,1,0.5522125,0.03552100009641568,32184000.0,0.12724388058014835,616171243.2941331,59.25157475962987
553,-0.044699414634146346,1,-0.12748684375,1,0.035456325,0,-0.033965823232323236,1,0.13269999999999998,0.007229335100688905,29082000.0,0.3983887325483914,628733369.4117776,61.462018900644615
556,-0.08879200000000001,1,-0.26329,2,0.124008,0,0.1013350404040404,1,0.055833333333333325,-0.03034076016559495,26718000.0,0.9162247146601771,650742255.4466305,61.462018900644615
557,0.14197386046511629,3,-0.005743444444444444,1,0.124008,0,0.1013350404040404,1,0.03264444444444444,-0.014357712322864424,24970000.0,0.9611670101146325,648927879.5388588,53.841892699503276
558,0.028356148936170215,1,-0.007791365384615385,1,0.124008,0,0.1013350404040404,1,0.36397,-0.02318256539286334,38958000.0,0.8987789473700163,640922899.6157156,44.4061028444856
559,0.024800327272727275,1,-0.033025264150943395,1,0.124008,0,0.1013350404040404,1,0.34813846153846156,-0.006658472390971726,32366000.0,0.7678541850463496,628857749.679763,42.173024862421165
560,0.07039166666666667,1,0.05822875,1,0.05691524509803921,0,0.1013350404040404,1,0.2696111111111111,0.011907715546821684,34330000.0,0.6321495773202059,624525124.7331358,47.2480358553093
563,0.08239946666666667,1,0.0691946875,1,0.06553882417582417,0,0.15334264615384616,2,0.31678333333333336,-0.025335378898117544,33354000.0,0.26281930822371513,609839530.516861,47.2480358553093
564,0.0915495945945946,1,0.057102942857142854,1,0.06553882417582417,0,0.15334264615384616,2,0.03748666666666667,0.04285323380529005,30992300.0,0.170908079081701,608282992.0973841,62.82410676754024
565,0.1044639756097561,3,0.042991022222222224,1,0.06553882417582417,0,0.15334264615384616,2,0.16057500000000002,0.0006979078672422201,26780100.0,0.1297657160591562,611449226.74782,63.02380026545811
566,0.09453969811320755,1,0.0984394262295082,1,0.06553882417582417,0,0.15334264615384616,2,0.3320444444444444,0.0029642892443892954,27267800.0,0.12470828467953536,618632388.9565166,63.91113183531053
567,0.0991125,1,0.06968417142857143,1,0.09453747311827958,0,0.15334264615384616,2,0.11767272727272728,-0.05806676157870372,44455300.0,0.019881116933018646,617209140.7970972,42.388713248662036
570,0.052277,3,0.094848,1,0.06205273,0,0.13928231282051282,1,0.1539,-0.0013842887138612037,28289900.0,-0.2926864260572765,609496111.5723941,42.388713248662036
571,0.052277,3,0.094848,1,0.06205273,0,0.13928231282051282,1,0.24971176470588236,-0.0255983427271268,36626600.0,-0.5425267371431689,598776159.6436617,35.68595725369505
572,0.024818188679245286,1,0.16726349999999998,3,0.06205273,0,0.13928231282051282,1,0.158415,0.07738994540757349,41474600.0,-0.6442609895674101,596755299.7030514,57.17100912213
573,0.08090875,1,0.1275054,1,0.06205273,0,0.13928231282051282,1,0.05604444444444444,0.008714770044605746,23303800.0,-0.636939981655152,598955216.4192096,58.96220707993029
574,0.06701783606557377,1,0.1109113064516129,1,0.078536,0,0.13928231282051282,1,-0.2242,0.01788989542955366,31336200.0,-0.5312284836401732,606011180.3493413,62.46302813208775
577,0.10008155555555556,1,0.16456225,3,0.09811384033613445,0,0.090536,1,0.2231727272727273,-0.009945096354465388,22856200.0,-0.2509195877577686,617065071.0354985,62.46302813208775
578,0.04466378947368421,1,0.16456225,3,0.09811384033613445,0,0.090536,1,0.3690333333333333,0.0036369774570161884,17911000.0,-0.09614899947713215,620278525.8629154,63.32518340738754
579,0.08244202083333334,1,0.12964676785714285,3,0.09811384033613445,0,0.090536,1,-0.135525,0.02484898374030564,25302800.0,0.11689846221082796,627173538.2190962,68.64359432671154
580,0.10834890322580645,1,0.12875432394366199,3,0.09811384033613445,0,0.090536,1,0.24275000000000002,0.0007577367251232481,15757700.0,0.3435468741504716,635545665.1825801,68.79588736063877
581,0.07725632075471697,1,0.0973756603773585,1,0.10042209523809524,0,0.090536,1,0.37531,-0.005468171202659411,15615700.0,0.5463003036231007,639919820.9854834,66.2917916335991
584,0.03205414285714286,1,0.15041906666666666,3,0.11462415384615386,0,0.14573976381909548,2,0.32711428571428575,-0.00067671993087981,17061100.0,0.9629025059346578,646290382.5147473,66.2917916335991
585,0.08717395833333334,1,0.15041906666666666,3,0.11462415384615386,0,0.14573976381909548,2,0.11152307692307693,-0.005417296368333324,15424300.0,1.0515592277034957,643459518.7622894,63.24315345346565
586,0.09066534615384615,1,0.11196334545454545,3,0.11462415384615386,0,0.14573976381909548,2,0.24480000000000002,0.026808523624501257,20497000.0,1.172385999864056,644516632.3019079,70.44698847857586
587,0.12775247826086958,3,0.11943840540540542,1,0.11462415384615386,0,0.14573976381909548,2,-0.008162500000000005,-0.006879418322068176,16671600.0,1.2784178450152561,642618960.2515899,66.73560293718779
588,0.07480715625,1,0.07523544444444444,1,0.108769,0,0.14573976381909548,2,0.1766818181818182,0.02361877681741409,16121100.0,1.4133950282093062,643724416.8763249,72.12750333231163
591,0.09430691176470588,1,0.13654605555555555,3,0.09803397,0,0.17219504639175257,2,0.08573333333333333,0.0018752199321458995,15525000.0,1.7354968312490242,648640540.7849102,72.12750333231163
592,0.1270450303030303,1,0.08162358333333333,1,0.09803397,0,0.17219504639175257,2,0.14176666666666668,-0.003011028039205166,15626200.0,1.8506136659999115,648725533.9874252,70.12853917552408
593,0.14401645238095237,1,0.07720643137254901,1,0.09803397,0,0.17219504639175257,2,0.5624666666666667,-0.01787611136412337,17589200.0,1.893385401024761,645864828.3228544,59.5996798356032
594,0.06011043333333334,1,0.07131553333333333,1,0.09803397,0,0.17219504639175257,2,0.14613333333333334,0.004488039535380572,15652000.0,1.8953457695704536,646089573.6023787,61.14859571773915
595,0.06989304347826086,1,0.020141105263157894,1,0.06139396226415095,0,0.17219504639175257,2,0.5836,-0.022670841055207225,20187000.0,1.8171759773759955,642912361.3353156,50.556932699867325
598,0.007656555555555555,1,0.056407,1,0.08568124175824175,0,0.139,1,-0.09545,-0.02582122401657383,19316000.0,1.5051211067507289,633000289.198678,50.55693269986732
599,0.13343021428571428,1,0.11206393333333334,1,0.08568124175824175,0,0.139,1,0.2529222222222222,-0.002607135244229175,14390700.0,1.2379618797916812,626386840.9988984,49.29935991724391
600,0.034866372093023255,1,0.08281705660377359,1,0.08568124175824175,0,0.139,1,0.0,-0.0006099128419592148,16051200.0,0.9533015058320881,618200434.1657487,48.9931334066531
601,0.07633031147540983,1,0.09413455555555555,1,0.08568124175824175,0,0.139,1,0.309325,0.026155188141406382,14874700.0,0.7368362933298394,613857545.1381239,60.358051080361385
602,0.07333531666666666,1,0.0730305,1,0.03849431578947369,0,0.139,1,-0.013159999999999982,-0.054375480564360035,31698700.0,0.4560775470666318,604955354.2817699,39.92212610810763
605,0.008689499999999996,1,0.2048955,3,0.01947701666666667,0,0.1289128730964467,2,0.12244285714285714,-0.008625397012979041,20386100.0,-0.22794158322362476,582805370.7649131,39.92212610810763
606,0.023289971014492754,1,0.063698,1,0.01947701666666667,0,0.1289128730964467,2,0.5634285714285714,-0.003896979246442056,20548200.0,-0.5351727955991631,572256158.970761,38.73689211919148
607,0.047979803278688525,1,0.07937426315789474,1,0.01947701666666667,0,0.1289128730964467,2,0.21904285714285715,-0.006914767636319152,25898000.0,-0.8402914532780332,559148815.8089675,36.66493938203291
608,0.05088425,1,0.0549982,1,0.01947701666666667,0,0.1289128730964467,2,0.17198,0.012826399508083952,22784400.0,-1.087121378098845,552023429.8408062,42.74068519899026
609,0.15405804347826085,3,0.0713855,1,0.06351795454545454,0,0.1289128730964467,2,0.256725,-0.016915447263321393,20601600.0,-1.3115000261572523,542652008.2006718,37.55798477166661
613,0.16073893617021276,1,0.05760291428571429,1,0.0785668425925926,0,0.1562438894472362,2,0.319225,-0.011041561877738082,20565100.0,-1.9173483494325967,514964368.38381165,37.55798477166661
614,0.06967004081632654,1,0.07116471698113208,1,0.0785668425925926,0,0.1562438894472362,2,0.12182500000000002,0.02791216883420833,22987200.0,-1.99595360694521,512173140.31984305,51.28508987216145
615,0.13555594117647057,3,0.07019938181818182,1,0.0785668425925926,0,0.1562438894472362,2,0.05168571428571428,-0.009594543408581013,21660700.0,-2.034632202796655,506237000.26653594,47.3261858559757
616,0.10645635294117647,3,0.06865097872340425,1,0.08620814457831324,0,0.1562438894472362,2,0.4227125,0.021568274994007153,21732900.0,-1.9893420286217012,504912366.88877994,55.552735084302206
619,0.08785180952380951,1,0.037318000000000004,1,0.0801501592920354,0,0.1451273366834171,1,0.34412857142857145,0.0008051884797641851,19732900.0,-1.8237678399633312,505410867.8754514,55.552735084302206
620,0.11084060869565217,1,0.0559914693877551,1,0.0801501592920354,0,0.1451273366834171,1,0.07174999999999998,-0.05863953720327153,33015000.0,-1.8468633737708136,502010239.8962095,35.072931059560645
621,0.09152687500000001,1,0.00013097916666666583,1,0.0801501592920354,0,0.1451273366834171,1,0.23557142857142857,0.005317683040270582,22115800.0,-1.90451297012148,502862349.91350794,37.201284084876015
622,0.0759606170212766,1,0.05005548888888889,1,0.0801501592920354,0,0.1451273366834171,1,0.11814,-0.018607737504443667,26494900.0,-2.0033473540499074,499156624.92792326,33.09171512265338
623,0.04949676315789473,1,-0.04818353488372093,1,0.011013423529411766,0,0.1451273366834171,1,0.329425,-0.0025986936332593746,64518900.0,-2.1114174840475757,485315370.7732694,32.560803443716054
626,-0.038994,1,0.022185555555555556,1,0.097727,0,0.097727,1,-0.002542857142857136,0.002122949209051317,19738600.0,-2.3466480852483027,459448791.88267905,32.560803443716054
627,0.052936825,1,0.09924560526315789,1,0.097727,0,0.097727,1,0.2905125,-0.019451099400543348,24001700.0,-2.4529591879438883,451514993.2355659,28.03476115582089
628,0.14375790476190475,1,0.02618838888888889,1,0.097727,0,0.097727,1,0.090375,-0.017872922145712677,26596800.0,-2.5860018629442427,440470694.3629716,24.702968340731843
629,0.060471518518518515,1,-0.015813749999999998,1,0.097727,0,0.097727,1,0.036708333333333336,0.005599415524768503,21272700.0,-2.6978362663263904,434812561.969143,27.555851218712533
630,0.04706332653061224,1,-0.0031716086956521746,1,-0.011477844155844156,0,0.097727,1,0.29410000000000003,-0.013920667496541306,25645100.0,-2.8023450711561595,425823268.30761915,25.005133905452155
633,0.08652180000000001,1,0.04009,1,-0.179354,1,0.13601620100502512,2,0.12669999999999998,-0.0036301363012860577,22437900.0,-3.0324592309452534,403147837.6780203,25.005133905452155
634,0.08652180000000001,1,0.04009,1,-0.179354,1,0.13601620100502512,2,0.027780000000000006,-0.007286724405353495,24225000.0,-3.106521402094711,391658848.065017,23.500375565977734
635,0.07226315384615385,1,0.05420253623188406,1,-0.179354,1,0.13601620100502512,2,0.09989000000000003,0.027016022273570472,24617000.0,-3.0993368837824855,386187523.3875142,38.23331606658204
636,0.023526129032258068,1,0.06541097142857143,1,-0.179354,1,0.13601620100502512,2,-0.1707,-0.026305356184963324,21921500.0,-3.085222129850781,377974502.8229285,31.665748200143398
637,0.0163291095890411,1,0.03339569387755102,1,-0.007679617886178861,0,0.13601620100502512,2,0.2589166666666667,-0.019777702971147226,26248200.0,-3.0900166415581487,366755619.0191071,27.88887253928243
640,0.08927639999999999,3,0.033568888888888884,1,0.0113462,0,0.13318109595959596,2,-0.27059999999999995,0.03276132580227853,24840000.0,-3.037615034260258,347263248.04346484,27.88887253928243
641,0.15639469230769232,3,0.02330871111111111,1,0.0113462,0,0.13318109595959596,2,0.29796,0.031319239826513856,22580900.0,-2.8652245814821033,349066390.03622067,42.64068895652197
642,0.07509621739130436,1,0.09001396666666667,1,0.0113462,0,0.13318109595959596,2,0.2721111111111111,-0.0018553113427585144,18475500.0,-2.6398235815637783,347489758.3635172,42.07439171047891
643,0.0894356842105263,1,0.07749061224489796,1,0.0113462,0,0.13318109595959596,2,0.22395000000000004,0.00019562358469582541,17156200.0,-2.3927808825260857,349035265.302931,42.16145202158425
644,0.07327533333333333,1,0.023071320000000003,1,0.04018551851851852,0,0.13318109595959596,2,0.6344142857142857,-0.026115006110455585,24232300.0,-2.1915656093910054,346284471.08577585,34.668921858674736
647,0.05067775,1,-0.025562666666666668,1,0.044920210526315785,0,0.14222242424242423,2,0.35144444444444445,-0.008637145857059436,16529900.0,-1.8175852194299609,337734990.67463887,34.668921858674736
648,0.05067775,1,0.04631172,1,0.044920210526315785,0,0.14222242424242423,2,0.21630769230769228,-0.006686212529999569,21617700.0,-1.7671008715261731,330509642.2288657,32.734766804379376
649,0.055676031746031744,1,0.02395407142857143,1,0.044920210526315785,0,0.14222242424242423,2,0.33805555555555555,0.002549719451492738,17343400.0,-1.723846322746725,327379085.1907214,34.23152649932263
650,0.07498916666666668,1,0.04649353703703704,1,0.044920210526315785,0,0.14222242424242423,2,0.16065714285714286,0.014343804567050089,32812200.0,-1.6529874244441698,330238987.6589345,42.06199155553571
651,0.07069548214285715,1,0.03778848,1,0.044920210526315785,0,0.14222242424242423,2,0.3434285714285714,-0.02537357138227936,22612900.0,-1.6113155426107566,328853423.049112,34.194840624775836
