,Date,Headline,Summary,neg,neu,pos,compound
95,2022-10-15,"UK's Jeremy Hunt to Delay Income Tax Cut by a Year, Times Says","New UK Chancellor Jeremy Hunt is expected to delay a penny cut in income tax to help plug a hole in public finances, the Times reported, citing unidentified sources.",0.141,0.772,0.087,-0.1779
96,2022-10-15,"Secret Service Minimized Threats Before Jan. 6, Documents Show","A Secret Service unit responsible for identifying threats repeatedly downplayed advance warnings of potential violence on Jan. 6, 2021, newly released documents show, a lapse that is now part of the House investigation into the attack on the US Capitol.",0.257,0.695,0.048,-0.872
97,2022-10-15,Your Saturday Briefing: Troubling Times for US and UK,Plus how to flip EVs for profit and Apple’s new iPads,0.0,0.775,0.225,0.4404
98,2022-10-15,Economic Report: The cost of health care is surging again and adding to high U.S. inflation,The cost of medical care is surging again after lull during the pandemic -- and adding tinder to the high inflation already burning up the U.S. economy.,0.0,0.89,0.11,0.4939
99,2022-10-15,Your Weekend Reading: The 'Worst' May Be Yet to Come,Get caught up.,0.0,1.0,0.0,0.0
100,2022-10-03,This classic investment strategy is on track for its 'worst year ever'—here's what to do with your money,The 60/40 portfolio is supposed to give investors the best of both worlds. So far in 2022 it's been more of a double-whammy.,0.0,0.833,0.167,0.6369
101,2022-10-03,The Hidden Benefit Of Higher Rates: Macro Man Podcast,Understand every aspect of the global economy – and know how to make your next move.,0.0,1.0,0.0,0.0
102,2022-10-03,"Government's Tax U-Turn Not Enough to Stop Pound Falling Further, Traders Warn - Bloomberg","Traders are the most negative ever on the pound’s prospects, even after the UK government scrapped one of its new tax policies, a sign it will take a bigger policy U-turn to restore credibility with markets.",0.101,0.787,0.112,-0.1513
103,2022-10-03,Google shuts down Translate service in China,It marks the end of one of Google's last remaining products in the world's second-largest economy.,0.0,1.0,0.0,0.0
104,2022-10-03,Deliveroo Opens Brick-and-Mortar Grocery Shop in Central London - Bloomberg,Deliveroo Plc is opening its first physical grocery outlet in the UK on central London’s New Oxford Street in an expansion of its rapid delivery service.,0.0,1.0,0.0,0.0
105,2022-10-03,5 things to know before the stock market opens Monday,Here are the most important news items that investors need to start their trading day.,0.0,0.87,0.13,0.2716
106,2022-10-03,One America News Plots a Comeback That Includes TV Antenna Users - Bloomberg,"After being dropped by two major pay-TV distributors this year, One America News is attempting a comeback by leveraging an old technology: the antenna.",0.0,1.0,0.0,0.0
107,2022-10-03,Disney executive Kareem Daniel joins McDonald's expanding board,Daniel's appointment is part of a broader shakeup of the fast-food giant's board this year.,0.11,0.89,0.0,-0.1531
108,2022-10-03,"Peloton to Put Fitness Bikes in Hilton’s 5,400 US Hotels (PTON)","Fans of Peloton Interactive Inc. will have a new place to ride the company’s workout bikes: Hilton Worldwide Holdings Inc.’s 5,400 hotels in the US.",0.0,1.0,0.0,0.0
109,2022-10-03,"What Cramer is watching Monday — back to 2020 on S&P 500, possible major OPEC+ oil cut",U.S. stock futures bounce as bond yields fall on the first trading day of October and the final quarter of a terrible 2022.,0.129,0.871,0.0,-0.4767
110,2022-10-03,Supreme Court Denies Russian Oligarch Deripaska's Plea to Lift Sanctions,The US Supreme Court turned away an appeal by Russian billionaire Oleg Deripaska to get US sanctions against him lifted.,0.0,0.841,0.159,0.5574
111,2022-10-03,This Is the Tax Loophole That the Rich Use to Delay Giving Away Money,There is a small but growing number of wealthy Americans who’ve discovered how to bypass rules designed to ensure philanthropists stay accountable for the billions of dollars in tax breaks they receive each year.,0.0,0.741,0.259,0.8462
112,2022-10-03,"Firefly's successful rocket launch over the weekend helps fill a big gap in the market, CEO says","Firefly is the fifth U.S. rocket builder to reach orbit in the past 15 years — joining a select group that includes SpaceX, Rocket Lab, Virgin Orbit and Astra.",0.0,0.959,0.041,0.0258
113,2022-10-03,Gazprom Ready to Ship Gas Via Shelved Nord Stream 2 Pipeline,Gazprom PJSC told European gas customers that part of the damaged Nord Stream network could still transport fuel -- but only on the new pipeline that Germany ditched in February in protest at Russia’s aggression toward Ukraine.,0.176,0.824,0.0,-0.7391
114,2022-10-03,"Europe's Record-Low Gas Use to Continue Slide In 2023, IEA Says - Bloomberg","European natural gas demand will slump next year as high prices drive nations to enact energy-saving measures amid Russian supply curtailments, according to the International Energy Agency.",0.05,0.797,0.153,0.4767
115,2022-10-03,Ocean freight orders are signaling a big drop in consumer demand,Maritime shipping orders were down 20% in September and October looks similar as consumer demand drops and carriers cancel as many as half of vessels sailings.,0.127,0.873,0.0,-0.3612
116,2022-10-03,"No, Credit Suisse Isn't on the Brink - Bloomberg","The Swiss bank has enough capital, but volatile markets have deepened worries and raised the costs of its restructuring.",0.171,0.829,0.0,-0.5719
117,2022-10-03,Spain's Calvino Says UK Backtracking on Taxes 'Very Good News',,0.0,0.0,0.0,0.0
118,2022-10-03,Social Media Company Liability Draws US Supreme Court Scrutiny,"The US Supreme Court will decide whether social media companies can be sued for hosting and recommending terrorist content, taking up two cases that challenge their liability protections.",0.184,0.678,0.138,-0.3818
119,2022-10-03,"Norwegian Cruise Line ends all Covid-19 testing, masking and vaccination requirements","Norwegian Cruise Line announced Monday that it will suspend all Covid-19 testing, masking and vaccination requirements effective this week.",0.103,0.759,0.138,0.2023
120,2022-10-03,Fed Outlook For The Fourth Quarter (Audio),Understand every aspect of the global economy – and know how to make your next move.,0.0,1.0,0.0,0.0
121,2022-10-03,General Motors says sales rose 24% in the third quarter,"GM said it sold 555,580 vehicles from July through September, up from 447,000 a year earlier.",0.0,1.0,0.0,0.0
122,2022-10-03,Tillerson Set to Take Stand Agains Barrack in Trial...,Former US Secretary of State Rex Tillerson will appear as a government witness Monday afternoon at Tom Barrack’s trial on charges that he acted as an unregistered foreign agent.,0.072,0.928,0.0,-0.2732
123,2022-10-03,We're moving money from an oil name to a beauty stock that would benefit from a China Covid shift,This trade will result in a nearly dollar for dollar switch out of energy and into a name we think stands to benefit from a possible Covid policy change.,0.0,0.825,0.175,0.6249
124,2022-10-03,Satellite operator Viasat up 35% after selling military communications unit to L3Harris for $2 billion,"Satellite operator Viasat is selling a piece of its government business to defense contractor L3Harris, in a deal worth nearly $2 billon.",0.0,0.841,0.159,0.34
125,2022-10-03,"Photos show massive recovery days after Hurricane Ian hit Florida, Carolinas","Insurers could face costs of up to $57 billion from Hurricane Ian's destruction in Florida and South Carolina, risk modeling firm Verisk said Monday.",0.209,0.791,0.0,-0.7003
126,2022-10-03,"Indonesia Mourns After 125 Die, Including 17 Children, in Soccer Stampede","Jember, Indonesia (AP) -- Families and friends of some of the 125 people who died in a deadly crush after an Indonesia soccer match wailed in grief as the bodies of the victims were returned home Monday. Seventeen children were among the dead.",0.277,0.665,0.057,-0.8979
127,2022-10-03,"3 takeaways from our daily meeting: Stocks jump, two trades and Club names in the news","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",0.0,1.0,0.0,0.0
128,2022-10-02,New York City Discovers a Taste of True Middle Eastern Cuisine,"A generational shift helps to explain why the city has experienced an efflorescence of restaurants serving Arab, Persian and Israeli cuisine.",0.0,0.88,0.12,0.3818
129,2022-10-02,Five Things You Need to Know to Start Your Day,Sydney house prices fall for eighth straight month. JD.com founder Richard Liu settles with rape accuser. Credit Suisse CEO asks for 100 days to turn around bank. Here’s what you need to know today.,0.117,0.771,0.112,-0.296
130,2022-10-02,Mediator: Ousted Burkina Faso Leader Offers Resignation,"Ouagadougou, Burkina Faso (AP) -- Burkina Faso's ousted coup leader has offered his resignation as long as his security and other conditions were met, and the new junta leader who overthrew him has accepted the deal, religious leaders mediating the West Afric…",0.048,0.853,0.098,0.3182
131,2022-10-02,Tight Bolsonaro-Lula Brazil Presidential Race Heads for Runoff Oct. 30,"Brazilian President Jair Bolsonaro fought his way through to a run-off election against Luiz Inacio Lula da Silva on Oct. 30, with his leftist challenger garnering the bigger share of votes on Sunday but falling short of the first round win that some opinion …",0.072,0.766,0.162,0.6705
132,2022-10-02,Philippine Peso PHP USD May Slide to an All-Time Low as Trade Deficit Widens,"The Philippine peso may extend its record-setting slump against the greenback as billions of dollars of trade deficits weigh on the currency, increasing pressure on the central bank to intervene to slow its descent.",0.061,0.891,0.047,-0.128
133,2022-10-02,Belita Ong on the Markets (Audio),"Live market coverage co-anchored from Hong Kong and New York. Overnight on Wall Street is daytime in Asia. Markets never sleep, and neither does Bloomberg.",0.0,1.0,0.0,0.0
134,2022-10-02,EM Weekly Podcast: Africa Is Vulnerable as China Cuts Back Help,Understand every aspect of the global economy – and know how to make your next move.,0.0,1.0,0.0,0.0
135,2022-10-02,Stephen Stapczynski on OPEC (Audio),"Live market coverage co-anchored from Hong Kong and New York. Overnight on Wall Street is daytime in Asia. Markets never sleep, and neither does Bloomberg.",0.0,1.0,0.0,0.0
136,2022-10-02,Terri Spath on the Markets (Radio),"Live market coverage co-anchored from Hong Kong and New York. Overnight on Wall Street is daytime in Asia. Markets never sleep, and neither does Bloomberg.",0.0,1.0,0.0,0.0
137,2022-10-02,Peter McGuire on the Markets (Radio),"Live market coverage co-anchored from Hong Kong and New York. Overnight on Wall Street is daytime in Asia. Markets never sleep, and neither does Bloomberg.",0.0,1.0,0.0,0.0
138,2022-10-02,Bolsonaro Has Momentum Ahead of Brazil Runoff: Analyst Reaction,Brazil is heading to a runoff election between President Jair Bolsonaro and Luiz Inacio Lula da Silva on Oct. 30 after a stronger-than-expected performance by the incumbent prevented his leftist challenger from getting the 50% needed to win the vote outright …,0.0,0.849,0.151,0.6597
139,2022-10-02,Retailers Still Have a Lot of Extra Stuff That Shoppers Don't Want,,0.0,0.0,0.0,0.0
140,2022-10-02,Designing Multifamily Condos for a Small Space in British Columbia,"The developer wanted to fit multiple units on a small, oddly shaped parcel of land in a neighborhood of traditional homes in British Columbia.",0.0,0.894,0.106,0.3612
141,2022-10-02,Iran Parliament Speaker Says Protests Could Weaken Society,,0.0,0.0,0.0,0.0
142,2022-10-02,Iran Says Major Progress Made in Talks to Release Frozen Funds,,0.0,0.0,0.0,0.0
143,2022-10-02,Turkey Says 23 Kurdish Militants Killed in Iraq Airstrikes,,0.0,0.0,0.0,0.0
144,2022-10-02,Bolsonaro or Lula: Brazilians Decide Who Deserves Another Chance,Bolsonaro or Lula: Brazilians Decide Who Deserves Another Chancebloomberg.com,0.0,1.0,0.0,0.0
145,2022-10-02,Pope Appeals to Putin to End ‘Spiral of Violence’ in Ukraine,"Vatican City (AP) -- Pope Francis on Sunday appealed to Russian President Vladimir Putin, imploring him to “stop this spiral of violence and death” in Ukraine and denounced the “absurd” risk to humanity of catastrophic nuclear war as tensions escalate.",0.314,0.686,0.0,-0.9432
146,2022-10-02,Truss ‘Throws Kwarteng Under a Bus’ Over Tax Cut for Richest,,0.0,0.0,0.0,0.0
147,2022-10-02,Is Covid Getting Less Deadly?,"Hi folks, it’s Kristen writing from the road in Edinburgh this week. A reader wonders whether, so long into the pandemic, the deadliness of the virus is waning. But before we get there…",0.0,1.0,0.0,0.0
148,2022-10-02,Swiss Police Violently Disperses Anti-Iranian Protests,,0.0,0.0,0.0,0.0
149,2022-10-02,Stellantis's Tavares Sees Microchip Shortage Lasting to End-2023 - Bloomberg,Stellantis's Tavares Sees Microchip Shortage Lasting to End-2023  Bloomberg,0.2,0.8,0.0,-0.25
150,2022-10-02,What's Behind Indonesia's Deadly Soccer Match?,"Jakarta, Indonesia (AP) -- Violence and a deadly stampede that erupted following a domestic league soccer match Saturday night marked another tragedy in Indonesian football. Here's a look at how the chaos occurred and what is being done to prevent future inci…",0.299,0.679,0.022,-0.9423
151,2022-10-02,Authorities: Death Toll After Riots At An Indonesian Soccer Match Saturday Climbed to 174,"Malang, Indonesia (AP) -- The death toll from panic at an Indonesian soccer match climbed to 174, most of whom trampled to death after police fired tear gas to dispel riots Saturday, making it one of the deadliest sports events in the world.",0.321,0.679,0.0,-0.9584
152,2022-10-02,Niall Ferguson: ‘Trevents’ Predict Future of Economies and Geopolitics,We exaggerate the importance of breaking news but we also project illusions about the future. History really gets made in between the short and long runs.,0.048,0.887,0.065,0.1154
153,2022-10-02,US Jobs at Cruising Speed May Keep Up Pressure on Fed: Eco Week,"Friday’s US jobs report is projected to show a labor market at cruising speed in September, with more moderate but still-healthy payrolls growth that’s likely to keep the Federal Reserve pumping hard on the monetary-policy brakes.",0.042,0.868,0.089,0.4215
154,2022-10-02,JD.com Tycoon Settles Rape Lawsuit Hours Before US Trial Begins,"Billionaire JD.com founder Richard Liu has reached a settlement with Liu Jingyao, the Minnesota student who accused him of rape in 2018, bringing to a close a civil suit less than 48 hours before a trial was set to begin.",0.167,0.799,0.034,-0.7579
155,2022-10-02,Suzlon Energy Chairman and Founder Tulsi Tanti Dies at 64 - Bloomberg,"Tulsi Tanti, the founder and chairman of Indian wind turbine maker Suzlon Energy Ltd., died Saturday at 64, the company said.",0.146,0.769,0.085,-0.3612
156,2022-10-02,UK Pension Strategy That Gilt Market Relied On Becomes Big Risk,"The UK’s pension sector created the modern gilt market. Last week, it almost broke it.",0.143,0.743,0.114,-0.1298
157,2022-10-02,The Stocks to Buy and Sell During the UK's Market Rout - Bloomberg,"The stock market has been roiled by Britain’s stubborn inflation and an interest rate crisis deepened by tax cuts from Liz Truss’s new government. Now, investors are seeking places to hide.",0.27,0.655,0.076,-0.7717
158,2022-10-02,Bulgarians Return to Polls in Bid to Break Mounting Deadlock - Bloomberg,"Bulgarian voters return to the polls for the fourth time in less than two years on Sunday, as the European Union’s poorest member state struggles to break a cycle of political paralysis and confronts a rupture in longstanding ties with Moscow.",0.18,0.82,0.0,-0.7845
159,2022-10-02,Relentless Dollar Rally Raises Bets on Interventions: MLIV Pulse,About 45% of 795 respondents in the latest MLIV Pulse survey expect an orchestrated response from several governments to stop the dollar surge.,0.091,0.909,0.0,-0.296
160,2022-10-02,"An Indonesian Video Service is Beating Netflix, Disney at Their Own Game","Local services have struggled against Western giants. But Vidio is the most popular service in Indoneisa, the world’s fourth most populous country.",0.066,0.774,0.16,0.533
161,2022-10-02,Bolsonaro Has Slim Lead in Brazil Election With 52% Counted,"President Jair Bolsonaro and his leftist rival Luiz Inacio Lula da Silva are in a dead heat in Brazil’s election Sunday with 73% of the vote counted, a stronger-than-expected showing by the incumbent that points to a likely run-off between the two on Oct. 30.",0.095,0.905,0.0,-0.6486
162,2022-10-02,"'Old Florida' Flattened by Hurricane Is Part of Cost, Rubio Says","Some of Florida’s oldest and most popular beach destinations devastated by Hurricane Ian will never look the same, Senator Marco Rubio said on Sunday.",0.137,0.756,0.106,-0.228
163,2022-10-02,"4 common issues you may have at work, and 4 books that could help, according to a career coach","A career coach shares her book recommendations for people navigating different stages in their careers, from job boredom to starting a business.",0.102,0.8,0.098,-0.0258
164,2022-10-02,Credit Suisse CEO Seeks to Calm as Default Swaps Near 2009 Level,Credit Suisse Group AG’s new chief has asked investors for less than 100 days to deliver a new turnaround strategy. Turbulent markets are making that feel like a long time.,0.0,0.836,0.164,0.6249
165,2022-10-02,Solar Energy's New Superpower is Throwing Shade,The farming world is learning how to blend agriculture with renewable energy installations — and gaining on both ends.,0.0,0.766,0.234,0.5994
166,2022-10-02,How John Deere plans to build a world of fully autonomous farming by 2030,John Deere tractors are going autonomous as the green-and-yellow tractor company has been pushing further into technology and robotics for the farm.,0.0,1.0,0.0,0.0
167,2022-10-02,Florida Deaths Rise to 47 Amid Struggle to Recover From Ian,,0.0,0.0,0.0,0.0
168,2022-10-02,"Student loan payments, interest are back in January for unforgiven debt. Here's how to deal with it",Not all student loan debt will be forgiven under President Biden's plan. And interest starts accruing again in January after a long Covid break.,0.089,0.712,0.199,0.4767
169,2022-10-02,Bitcoiners Hunker Down for 'Storms Ahead' as Retail Stays Away - Bloomberg,Bitcoiners Hunker Down for 'Storms Ahead' as Retail Stays Away  Bloomberg,0.0,1.0,0.0,0.0
170,2022-10-02,33% of Americans anticipate going into debt after splurging on their favorite sports teams,"Around a third of Americans plan to take on debt due to sports expenditures, according to new data from LendingTree.",0.122,0.878,0.0,-0.3612
171,2022-10-02,"Petition for Immediate UK Election Passes 400,000 Signatures",,0.0,0.0,0.0,0.0
172,2022-10-02,US Economy Dodges Harsher Hit on Inflation From Hurricane Ian,"Hurricane Ian has left a path of destruction behind, destroying countless homes, ruining citrus crops and risking fragile supply chains, but the storm’s skirting of a key US fertilizer-production area in Florida means the broader US economy was spared from th…",0.182,0.818,0.0,-0.7003
173,2022-10-02,Russia's Novak Says Possible to Repair Nord Stream Pipelines,,0.0,0.0,0.0,0.0
174,2022-10-02,Oil Jumps at the Open as OPEC+ Considers Big Production Cut,Oil surged in early Asian trading after delegates said OPEC+ was considering cutting output by more than 1 million barrels a day when the group meets this week to stem a slide in prices.,0.048,0.952,0.0,-0.128
175,2022-10-02,"Avoid doing these 5 activities at home during a thunderstorm, says a meteorologist and storm chaser","Lightning can be dangerous when you're at home, too. Avoid showering and these other activities indoors during a storm, says founder of New York Metro Weather.",0.187,0.813,0.0,-0.6486
176,2022-10-02,Search and rescue efforts underway in Florida after 'catastrophic' hurricane,Search and rescue efforts are underway in Florida after a devastating Category 4 hurricane made landfall Wednesday.,0.209,0.631,0.16,-0.25
177,2022-10-02,"'It's very toxic and dangerous': How to stop comparing yourself to co-workers and defeat imposter syndrome, from a Microsoft exec","Microsoft CMO Chris Capossela says he wouldn't have made it to the C-Suite without first learning how to let passion, not competitiveness, guide his career.",0.0,0.889,0.111,0.4588
178,2022-10-02,Sierra Leonean Mayor Faces Probe After Official’s Arrest,,0.0,0.0,0.0,0.0
179,2022-10-02,Northern Ireland Minister Apologises for Past ‘Ferocious’ Brexit Stance,"A Northern Ireland minister who was previously a strident Brexit supporter has apologised for his former ""ferocious"" stance on negotiations with the EU.",0.0,0.844,0.156,0.3612
180,2022-10-02,"Stock Market Today: Dow, S&P Live Updates for Oct. 3, 2022 - Bloomberg",Asian stocks are set for a tepid start after suffering their worst monthly performance in almost 14 years in September as markets were pummeled by the resolve of global central banks to keep raising interest rates until inflation is under control.,0.148,0.738,0.115,-0.3818
181,2022-10-02,Kwarteng Trying to Head Off Tory Rebellion Over Tax Cut Debacle,"Kwasi Kwarteng is privately trying to reassure Conservative Members of Parliament that his tax cuts can fix the UK economy, in a bid to head off a potential rebellion.",0.123,0.797,0.08,-0.0772
182,2022-10-02,"Yemen Truce Has Expired With No New Pact Reached, UN Envoy Says","The United Nations-brokered truce between Yemen’s internationally-recognized government backed by the Saudis and the Iran-backed Shiite Houthi rebel militia has expired without reaching a new agreement, UN special envoy to Yemen Hans Grundberg said in a state…",0.141,0.7,0.159,0.1974
183,2022-10-02,Your Sunday Briefing: Picking Up the Pieces After Ian,Ease yourself into the new week,0.0,0.667,0.333,0.3612
184,2022-10-02,"Bloomberg Best: Ian, Housing, Fed, Crypto (Podcast)","Bloomberg Best features the best stories of the day from Bloomberg Radio, Bloomberg Television, and over 150 Bloomberg News bureaus around the world.",0.0,0.714,0.286,0.8555
185,2022-10-02,EU Aims to Exempt Maritime Pilot Services From Russia Oil Ban,The European Union proposed making so-called pilot services exempt from sanctions targeting the transfer of Russian oil that are set to kick in this year to punish Moscow for its invasion of Ukraine.,0.095,0.866,0.039,-0.4588
186,2022-10-02,"Borissov Heads for Bulgaria Vote Win, Though Paralysis Looms",,0.0,0.0,0.0,0.0
187,2022-10-02,Dubai Sets New Record With Sale of Palm Jumeirah Mansion for $82 Million,"A mansion built on Dubai’s Palm Jumeirah island has become the most expensive home to be sold in the Persian Gulf emirate, the latest real-estate record as the city’s luxury property sales surge.",0.0,1.0,0.0,0.0
188,2022-10-02,"Tesla Deliveries Miss Estimates, Slowed by Logistic Snarls","Tesla Inc. worldwide deliveries missed forecasts in the third quarter and the company warned of challenges in getting its cars to customers, suggesting that supply-chain snarls remain a blight.",0.141,0.817,0.042,-0.4588
189,2022-10-02,Another Defeat in Ukraine Undermines Putin’s ‘Forever’ Goals,,0.0,0.0,0.0,0.0
190,2022-10-02,"China Tightens Lending Taps, Leaving African Markets Vulnerable",,0.0,0.0,0.0,0.0
191,2022-10-02,Former Rees-Mogg Business Partner Made UK Government Minister,"A former business partner of the UK’s Secretary of State for Business, Jacob Rees-Mogg, has been appointed as a minister for international trade and the cabinet office.",0.0,1.0,0.0,0.0
192,2022-10-01,The Best Places to Visit in Japan Before Swarms of Tourists Arrive,"Delayed reopening, weaker yen are fueling pent-up travel demand",0.512,0.488,0.0,-0.6486
193,2022-10-01,"Biden to Visit Florida, Puerto Rico to Survey Hurricane Damage",President Joe Biden will travel to Puerto Rico on Monday and Florida on Wednesday to survey the damage there after vowing to commit the full strength of the federal government to recovery efforts in the wake of two devastating hurricanes.,0.153,0.736,0.11,-0.4767
194,2022-10-01,"UK's Monkeypox Situation 'Very Positive' as Cases Continue to Fall, Says Expert","The monkeypox situation in the UK is looking ""very positive"" as cases continue to fall, according to one of the country's top infectious disease experts.",0.0,0.802,0.198,0.6901
195,2022-10-01,The Simpsons' Producer: Boris Johnson Was a Character Right for Satire,"The Simpsons' producer has said Boris Johnson was a ""character right for satire"" but America's ""own issues"" provided enough content for the sitcom.",0.0,1.0,0.0,0.0
196,2022-10-01,"More Than 127 People Killed in Indonesia Football Riot, Sky Says","At least 127 people were killed in a riot after a football match in Indonesia, Sky News reported, citing police officials.",0.323,0.677,0.0,-0.8442
197,2022-10-01,"Rex Tillerson to Testify at Tom Barrack's Trial, Lawyers Say","Rex Tillerson, who served as Secretary of State for little over a year during the Trump administration, will testify next week as a prosecution witness at the trial of Tom Barrack, defense lawyers said Saturday.",0.09,0.868,0.042,-0.4019
198,2022-10-01,"The Wall Street Journal: Trump-era presidential records are still missing, says National Archives",The National Archives and Records Administration said that it hasn’t recovered all the presidential records that were supposed to be turned over at the end of the Trump administration.,0.0,1.0,0.0,0.0
